Description Size Speed Range Firepower Cargo
Australia 2 5 6 9 4
Austria 3 5 6 1 0
Bahrain 4 6 1 9 3
Bangladesh 3 9 1 8 4
Barbados 2 4 7 1 9
Belarus 1 8 9 2 6 1
Belgium 3 6 9 1 2
Bulgaria 3 6 9 1 3
Croatia 1 6 8 2 9
Cuba 4 9 2 0 1
Cyprus 2 6 8 9 1
Djibouti 2 5 7 1 3
Ecuador 1 6 3 2 9
Egypt 2 5 9 2 1
Estonia 8 5 1 10 3
Germany 6 6 9 2 7
Greece 6 6 9 2 2
Guatemala 9 9 1 1 0
Guinea 2 9 1 6 2
India 2 5 3 1 4
Indonesia 1 5 10 8 2
Ireland 9 5 2 5 2
Kazakhstan 1 7 9 6 1
Kenya 1 10 6 2 1
Kyrgyzstan 1 8 9 4 1
Lithuania 1 6 7 3 2
Malta 2 2 5 5 0
Mexico 9 9 8 1 1 
Netherlands 2 5 7 1 8
Nicaragua 2 10 1 6 3
Norway 3 6 6 8 10
Pakistan 1 8 9 2 1
Russia 10 10 10 10 10
Spain 2 1 4 8 8 
Sweden 9 9 6 3 2
Turkey 10 10 4 1 10
UnitedKingdom 9 7 2 5 6
UnitedStates 2 2 7 5 2 
Venezuela 7 3 5 10 1
Vietnam 2 6 4 2 8
